GBR1_site,decimalLatitude,decimalLongitude,mean_wspeed_u,mean_wspeed_v,mean_wind_speed,sd_wind_speed,cv_wind_speed,min_wind_speed,max_wind_speed,wind_speed_range,wind_vector_magnitude,mean_wind_direction,wind_directional_constancy,wind_directional_variability,predominant_wind_sector,dominant_wind_season,mean_wave_energy_proxy,wind_transport_potential,wind_dispersal_symmetry,wind_retention_potential,wind_exposure_category,wind_seasonal_variability_category,mean_u,mean_v,current_seasonal_variability_category,mean_current_speed,sd_current_speed,cv_current_speed,min_current_speed,max_current_speed,current_speed_range,mean_current_direction,predominant_current_sector,dominant_current_season,current_transport_potential,current_dispersal_symmetry,current_retention_potential,current_exposure_category,current_regime_type
Ahya_100a,-23.90718265,152.3868982,-3.494511839,2.055967942,4.551260427,1.848410417,0.406131542,0.131138022,8.769820188,8.638682165,4.054456458,120.4700851,0.890842553,0.109157447,SE,Autumn,141.8643671,4.054456458,0.232188117,0.023984004,Sheltered,High,0.002224755,0.00138922,Low,0.016724131,0.010263203,0.613676302,0.001949768,0.045358195,0.043408427,238.0178097,SW,Autumn,0.002622874,0.866973359,50.41626943,Low_Flow,Variable_Weak
Ahya_100b,-14.65088219,145.6385087,-4.810532304,4.096847609,6.506745137,3.127466553,0.480649924,0.111572499,11.04728879,10.93571629,6.318653446,130.4190846,0.971092814,0.028907186,SE,Winter,450.1217609,6.318653446,0.260685304,0.004442649,Exposed,High,-0.128632707,0.159305862,Low,0.209349334,0.053847043,0.257211437,0.09974202,0.341166492,0.241424471,141.0806006,SE,Winter,0.204755296,0.385559511,0.104821762,High_Flow,Steady_Strong
Ahya_101a,-23.90718332,152.3868906,-3.494513535,2.055968186,4.551261645,1.848410215,0.406131389,0.131141498,8.769820913,8.638679415,4.054458043,120.4700759,0.890842663,0.109157337,SE,Autumn,141.8644463,4.054458043,0.23218795,0.023983973,Sheltered,High,0.010632957,-0.005427587,Low,0.016064574,0.008143113,0.506898801,0.002131507,0.045873496,0.04374199,297.0420134,NW,Summer,0.01193811,0.338111491,15.98967498,Low_Flow,Steady_Weak
Ahya_101b,-14.65092226,145.6384919,-4.810532817,4.096850928,6.506746844,3.127465182,0.480649587,0.111566016,11.04729108,10.93572507,6.318655989,130.4191045,0.97109295,0.02890705,SE,Winter,450.1218859,6.318655989,0.260685419,0.004442627,Exposed,High,-0.128643646,0.159304918,Low,0.209356189,0.053845193,0.257194181,0.099740187,0.341142894,0.241402708,141.0780532,SE,Winter,0.204761433,0.385527381,0.104831269,High_Flow,Steady_Strong
Ahya_102a,-23.90717134,152.3868998,-3.494513143,2.055967841,4.551261134,1.848410263,0.406131446,0.131140056,8.769820845,8.638680789,4.054457531,120.4700745,0.89084265,0.10915735,SE,Autumn,141.8644117,4.054457531,0.23218795,0.023983979,Sheltered,High,0.010639601,-0.005430089,Low,0.016069394,0.008145317,0.506883907,0.002129828,0.04587712,0.043747292,297.0382135,NW,Summer,0.011945166,0.337896544,15.97142634,Low_Flow,Steady_Weak
Ahya_102b,-14.65098512,145.6384826,-4.810528319,4.096851831,6.506742875,3.127460338,0.480649136,0.111558187,11.04728223,10.93572404,6.318653151,130.4191372,0.971093106,0.028906894,SE,Winter,450.1207581,6.318653151,0.260685659,0.004442606,Exposed,High,-0.12865967,0.1592862,Low,0.209353824,0.053843617,0.257189555,0.099730422,0.341136284,0.241405862,141.0712739,SE,Winter,0.204756939,0.385443896,0.104882205,High_Flow,Steady_Strong
Ahya_102b_R2023,-14.65102,145.6384435,-4.810535163,4.096859839,6.506752324,3.127462342,0.480648746,0.111549702,11.04729919,10.93574949,6.318663553,130.4191522,0.971093295,0.028906705,SE,Winter,450.1224494,6.318663553,0.260685681,0.00444257,Exposed,High,-0.128669324,0.159304385,Low,0.209373632,0.053840115,0.257148499,0.099736212,0.341078959,0.241342747,141.0723699,SE,Winter,0.204777152,0.385455931,0.104853138,High_Flow,Steady_Strong
Ahya_103a,-23.90710185,152.3869429,-3.49599248,2.055393752,4.551675564,1.848226932,0.406054189,0.132402889,8.770703199,8.63830031,4.05544164,120.4524856,0.890977747,0.109022253,SE,Autumn,141.8868922,4.05544164,0.23193285,0.023952114,Sheltered,High,1.17E-04,0.002238259,Low,0.015047326,0.009302344,0.618205794,4.82E-04,0.04181764,0.041335763,183.0022948,S,Autumn,0.002241335,0.992198477,56.55806348,Low_Flow,Variable_Weak
Ahya_103b,-14.65098856,145.6384714,-4.810531082,4.096854305,6.506746415,3.127461586,0.480649066,0.11155642,11.0472888,10.93573238,6.318656858,130.419138,0.971093148,0.028906852,SE,Winter,450.1214437,6.318656858,0.260685637,0.004442597,Exposed,High,-0.128660867,0.159294472,Low,0.209360608,0.053842694,0.257176813,0.099733545,0.341118614,0.241385069,141.072468,SE,Winter,0.204764127,0.385458096,0.104866212,High_Flow,Steady_Strong
Ahya_103b_R2023,-14.650971,145.6384252,-4.810546258,4.096865296,6.506764931,3.127469968,0.480648986,0.111552441,11.04732393,10.93577149,6.318675538,130.4191247,0.971093255,0.028906745,SE,Winter,450.1252228,6.318675538,0.260685408,0.004442568,Exposed,High,-0.128658408,0.159343531,Low,0.209394144,0.053839481,0.257120281,0.099753635,0.341040582,0.241286947,141.081627,SE,Winter,0.204800749,0.385568263,0.104762236,High_Flow,Steady_Strong
Ahya_104a,-23.90709305,152.3869322,-3.495994751,2.055394636,4.551677664,1.84822667,0.406053945,0.132408808,8.770704,8.638295191,4.055444046,120.4524801,0.890977865,0.109022135,SE,Autumn,141.8870319,4.055444046,0.231932705,0.023952077,Sheltered,High,0.007977289,-0.003960948,Low,0.013309801,0.00680391,0.511195444,7.04E-04,0.038005215,0.037301458,296.4056906,NW,Summer,0.008906529,0.40064551,24.85606816,Low_Flow,Steady_Weak
Ahya_104b,-14.65095445,145.6384332,-4.810545924,4.096863859,6.50676409,3.127470469,0.480649126,0.11155513,11.04732271,10.93576758,6.318674352,130.4191167,0.971093199,0.028906801,SE,Winter,450.1251431,6.318674352,0.260685364,0.004442577,Exposed,High,-0.128654148,0.159343794,Low,0.209391377,0.053840295,0.257127564,0.099754366,0.341050847,0.241296481,141.0826005,SE,Winter,0.204798277,0.385580488,0.104758256,High_Flow,Steady_Strong
Ahya_105a,-23.90711107,152.3869396,-3.495989535,2.055394585,4.551674477,1.84822729,0.406054365,0.132399657,8.770701535,8.638301878,4.055439524,120.4525168,0.890977495,0.109022505,SE,Autumn,141.8868284,4.055439524,0.231933313,0.023952175,Sheltered,High,0.008341879,-0.004821454,Low,0.013183146,0.006907263,0.523946497,4.83E-04,0.038342262,0.037859281,300.0271317,NW,Summer,0.009635007,0.36723155,20.41561523,Low_Flow,Steady_Weak
Ahya_105b,-14.65096434,145.6384742,-4.810533118,4.096854205,6.506748326,3.127463611,0.480649236,0.111559309,11.04729292,10.93573362,6.318658343,130.4191253,0.971093091,0.028906909,SE,Winter,450.1219547,6.318658343,0.260685541,0.004442604,Exposed,High,-0.128654818,0.15930277,Low,0.209362375,0.053843247,0.257177283,0.099737755,0.341119452,0.241381697,141.0752437,SE,Winter,0.204766781,0.385492174,0.104844176,High_Flow,Steady_Strong
Ahya_105b_R2023,-14.650915,145.6384266,-4.81055231,4.096866269,6.506771079,3.127475275,0.480649348,0.111558293,11.04733667,10.93577838,6.318680776,130.4190958,0.971093143,0.028906857,SE,Winter,450.1267409,6.318680776,0.260685177,0.004442581,Exposed,High,-0.128645183,0.159367036,Low,0.209401844,0.053840352,0.257114984,0.099765065,0.341033851,0.241268786,141.0886363,SE,Winter,0.20481073,0.385654012,0.104702501,High_Flow,Steady_Strong
Ahya_106a,-23.90711007,152.3869808,-3.495991369,2.055389558,4.551671429,1.848227022,0.406054578,0.132391551,8.770703995,8.638312444,4.055438557,120.4524425,0.890977879,0.109022121,SE,Autumn,141.8866007,4.055438557,0.231932396,0.023952107,Sheltered,High,0.008024574,-0.003961724,Low,0.013335556,0.006812063,0.51081956,6.83E-04,0.038005437,0.037322649,296.2755068,NW,Summer,0.008949248,0.398257266,24.66475749,Low_Flow,Steady_Weak
Ahya_106b,-14.65101538,145.6384382,-4.810537223,4.096861163,6.506754777,3.127463577,0.480648754,0.111549527,11.0473039,10.93575437,6.31866598,130.4191492,0.971093302,0.028906698,SE,Winter,450.122963,6.31866598,0.260685643,0.004442568,Exposed,High,-0.128668382,0.159311239,Low,0.209377902,0.053839789,0.257141695,0.099739106,0.341069588,0.241330482,141.0737798,SE,Winter,0.204781893,0.38547296,0.104838119,High_Flow,Steady_Strong
Ahya_107a,-23.90711091,152.3869516,-3.495990043,2.055393121,4.551673574,1.848227215,0.406054429,0.132397251,8.770702239,8.638304988,4.05543922,120.4524954,0.890977605,0.109022395,SE,Autumn,141.8867611,4.05543922,0.231933049,0.023952156,Sheltered,High,1.28E-04,0.002235048,Low,0.015048623,0.009300588,0.618035809,4.71E-04,0.041807826,0.041336411,183.2879348,S,Autumn,0.002238733,0.991467669,56.56553332,Low_Flow,Variable_Weak
Ahya_107b,-14.65099091,145.6384361,-4.81054079,4.096862293,6.506758604,3.12746639,0.480648904,0.111551774,11.04731162,10.93575985,6.318669428,130.4191361,0.971093261,0.028906739,SE,Winter,450.1238569,6.318669428,0.26068553,0.004442571,Exposed,High,-0.128662652,0.159324595,Low,0.209383502,0.053839991,0.257135785,0.099745356,0.341061766,0.24131641,141.077375,SE,Winter,0.204788683,0.385516766,0.104805372,High_Flow,Steady_Strong
Ahya_108b,-14.6509723,145.6384345,-4.810543462,4.09686313,6.506761467,3.127468501,0.480649017,0.111553475,11.0473174,10.93576393,6.318672005,130.4191261,0.971093229,0.028906771,SE,Winter,450.1245264,6.318672005,0.260685444,0.004442574,Exposed,High,-0.128658311,0.159334579,Low,0.209387652,0.05384014,0.257131399,0.099750032,0.34105594,0.241305909,141.0800747,SE,Winter,0.204793723,0.385549675,0.104780908,High_Flow,Steady_Strong
Ahya_108b_R2023,-14.650979,145.6384282,-4.810544455,4.096864405,6.50676288,3.127468731,0.480648948,0.111552004,11.04731991,10.9357679,6.318673587,130.4191291,0.971093262,0.028906738,SE,Winter,450.124772,6.318673587,0.260685452,0.004442568,Exposed,High,-0.128660155,0.15933716,Low,0.209390787,0.053839584,0.257124896,0.099750799,0.341046857,0.241296058,141.0801269,SE,Winter,0.20479689,0.385550066,0.104777033,High_Flow,Steady_Strong
Ahya_109b,-14.65097532,145.6384242,-4.810546029,4.096865416,6.506764754,3.127469677,0.480648955,0.111551878,11.0473235,10.93577163,6.318675441,130.4191268,0.971093267,0.028906733,SE,Winter,450.1251648,6.318675441,0.260685423,0.004442566,Exposed,High,-0.128659463,0.159342448,Low,0.2093941,0.053839347,0.257119695,0.09975304,0.341039712,0.241286672,141.081207,SE,Winter,0.204800569,0.385563095,0.104765378,High_Flow,Steady_Strong
Ahya_10_Chicken,-18.654217,147.7098152,-4.828432483,2.21146293,5.580109096,1.762591239,0.315870391,1.366724229,8.987703601,7.620979372,5.310774758,114.6081805,0.951733141,0.048266859,SE,Winter,225.2334045,5.310774758,0.134706437,0.008649806,Moderate,High,-0.022306481,-0.007077759,Low,0.063434816,0.033527762,0.528538799,0.004796238,0.213478469,0.208682231,72.39597033,E,Autumn,0.023402431,0.648355859,9.948465348,Moderate_Flow,Variable_Weak
Ahya_10_Kelso,-18.446173,146.9912426,-4.327514217,1.982555162,5.104673981,1.657302889,0.324663807,1.373833746,8.430139591,7.056305844,4.760031961,114.6138387,0.932485009,0.067514991,SE,Winter,175.1629214,4.760031961,0.15224474,0.013226112,Sheltered,High,-0.035008495,-0.022560957,Low,0.063233414,0.024084974,0.380889978,0.016475073,0.153326623,0.13685155,57.20055262,NE,Spring,0.041648427,0.44636083,5.398318752,Moderate_Flow,Steady_Weak
Ahya_10_Lizard,-14.645963,145.4552607,-4.902801555,4.151164631,6.604711884,3.148391784,0.47668874,0.053923769,11.20910568,11.15518191,6.424144369,130.2543344,0.972660804,0.027339196,SE,Winter,467.6593752,6.424144369,0.257681237,0.004139347,Exposed,High,-0.069391759,0.04103704,Moderate,0.096938313,0.045542352,0.469807562,0.006867528,0.172030317,0.165162789,120.5993075,SE,Winter,0.080617956,0.284165807,1.736755696,High_Flow,Steady_Weak
Ahya_10_Tydeman,-13.971456,144.5026016,-5.720592488,3.310204124,6.871593024,3.383127697,0.492335283,0.434723047,11.53966951,11.10494646,6.609283604,120.0556949,0.961826985,0.038173015,SE,Winter,540.8843631,6.609283604,0.167501267,0.005555191,Exposed,High,-0.061589233,-0.016989316,Low,0.076561121,0.034358294,0.448769473,0.010540473,0.212912192,0.202371719,74.57854488,E,Spring,0.063889518,0.195554712,2.161797419,Moderate_Flow,Steady_Weak
Ahya_10a,-21.95539883,152.2969731,-4.340659067,2.253013339,5.140629613,1.654894327,0.321924443,2.011705285,9.126276823,7.114571538,4.890540895,117.4315096,0.951350567,0.048649433,SE,Autumn,179.0678149,4.890540895,0.155617231,0.009463711,Sheltered,High,-0.017705914,0.004079988,Low,0.021041426,0.011226939,0.533563622,0.001503969,0.054947797,0.053443828,102.9762058,E,Autumn,0.018169912,0.158521188,6.48575615,Low_Flow,Steady_Weak
Ahya_10b,-14.47368407,145.504462,-4.923254943,4.083762602,6.594719965,3.197971431,0.484929072,0.170451119,11.20161812,11.031167,6.396526888,129.6751731,0.969946703,0.030053297,SE,Winter,471.496297,6.396526888,0.253455042,0.004557176,Exposed,High,-0.104872314,0.064181174,Low,0.130352281,0.03220908,0.24709257,0.043278892,0.210844579,0.167565687,121.466361,SE,Spring,0.122952939,0.195470049,0.43546754,High_Flow,Steady_Strong
Ahya_110b,-14.65099636,145.6383884,-4.81055363,4.096873016,6.506774791,3.127472681,0.480648675,0.111545337,11.04734188,10.93579654,6.318686156,130.4191346,0.971093416,0.028906584,SE,Winter,450.1270528,6.318686156,0.260685396,0.004442536,Exposed,High,-0.128665871,0.159364818,Low,0.209414604,0.053836519,0.257081013,0.099761133,0.340985779,0.241224646,141.0837435,SE,Winter,0.204822,0.385592655,0.104723728,High_Flow,Steady_Strong
Ahya_111b,-14.65101689,145.6383799,-4.810553471,4.096874312,6.506775104,3.127471766,0.480648511,0.111542274,11.04734203,10.93579976,6.318686875,130.4191445,0.971093479,0.028906521,SE,Winter,450.1270063,6.318686875,0.260685456,0.004442526,Exposed,High,-0.12867083,0.159362404,Low,0.209416338,0.053835622,0.257074606,0.099759367,0.340976421,0.241217054,141.0822401,SE,Winter,0.204823237,0.385574061,0.104733313,High_Flow,Steady_Strong
Ahya_112b,-14.65102888,145.6383849,-4.810550543,4.096872797,6.506771746,3.127469785,0.480648455,0.111541692,11.04733547,10.93579378,6.318683664,130.4191512,0.971093487,0.028906513,SE,Winter,450.1262728,6.318683664,0.260685524,0.004442528,Exposed,High,-0.107646555,0.145492761,Low,0.184740453,0.051977136,0.281352217,0.081834588,0.313279922,0.231445334,143.503162,SE,Winter,0.180985978,0.417309239,0.110008216,High_Flow,Steady_Strong
Ahya_113b,-14.65105872,145.638374,-4.810549746,4.096874236,6.506771493,3.12746815,0.480648222,0.111537441,11.04733436,10.93579692,6.318683989,130.4191659,0.971093575,0.028906425,SE,Winter,450.1260624,6.318683989,0.260685618,0.004442514,Exposed,High,-0.10765235,0.14548552,Low,0.184738974,0.051973246,0.28133341,0.081842926,0.313264557,0.231421631,143.5003236,SE,Winter,0.180983605,0.417273204,0.110036207,High_Flow,Steady_Strong
Ahya_113b_R2023,-14.651082,145.6383584,-4.810551004,4.096876854,6.506773637,3.127467828,0.480648014,0.111533324,11.04733789,10.93580456,6.318686645,130.4191765,0.971093663,0.028906337,SE,Winter,450.1263649,6.318686645,0.260685668,0.004442499,Exposed,High,-0.107654498,0.145484627,Low,0.184739853,0.051968421,0.281305956,0.081846907,0.313240333,0.231393426,143.4996087,SE,Winter,0.180984164,0.417264349,0.110044511,High_Flow,Steady_Strong
Ahya_114b,-14.65103206,145.6383295,-4.810565715,4.096885176,6.506790775,3.12747741,0.480648221,0.111534765,11.04737112,10.93583636,6.318703241,130.4191475,0.971093656,0.028906344,SE,Winter,450.1300537,6.318703241,0.260685354,0.004442489,Exposed,High,-0.128676309,0.159400275,Low,0.209447297,0.053832086,0.257019724,0.099773917,0.34089973,0.241125813,141.0877016,SE,Winter,0.204856144,0.385638723,0.104657934,High_Flow,Steady_Strong
Ahya_114b_R2023,-14.651067,145.6383119,-4.810565981,4.096887758,6.506791949,3.127476129,0.480647937,0.111529386,11.0473726,10.93584322,6.318705117,130.4191638,0.971093769,0.028906231,SE,Winter,450.130104,6.318705117,0.260685447,0.00444247,Exposed,High,-0.12868431,0.159397375,Low,0.209450857,0.053830386,0.257007236,0.099771339,0.340881062,0.241109722,141.0854509,SE,Winter,0.204858914,0.385610964,0.104672398,High_Flow,Steady_Strong
Ahya_115b,-14.65103407,145.638288,-4.810577115,4.096894449,6.506805072,3.127483188,0.480648053,0.111529683,11.04739792,10.93586824,6.318717932,130.4191445,0.97109378,0.02890622,SE,Winter,450.1328998,6.318717932,0.260685227,0.00444246,Exposed,High,-0.128678782,0.159437265,Low,0.209475474,0.053829546,0.256973027,0.099788725,0.340834724,0.241045998,141.0936609,SE,Winter,0.204886482,0.385709553,0.104580549,High_Flow,Steady_Strong
Ahya_116b,-14.65096258,145.63834,-4.810571536,4.096885155,6.50679637,3.127483157,0.480648691,0.111542653,11.04738307,10.93584042,6.318707659,130.4191131,0.9710935,0.0289065,SE,Winter,450.1315315,6.318707659,0.260685096,0.004442509,Exposed,High,-0.128661092,0.159425738,Low,0.209454871,0.053833862,0.257018908,0.099786825,0.34090059,0.241113764,141.0954863,SE,Winter,0.204866401,0.38573359,0.104589217,High_Flow,Steady_Strong
Ahya_117b,-14.65092159,145.6383108,-4.810584845,4.096893214,6.506812075,3.127491551,0.480648821,0.11154286,11.04741335,10.93587049,6.318723016,130.4190905,0.971093516,0.028906484,SE,Winter,450.1348719,6.318723016,0.260684835,0.004442496,Exposed,High,-0.128654619,0.159473108,Low,0.209484192,0.053832721,0.256977484,0.099807442,0.340844407,0.241036966,141.1052135,SE,Winter,0.204899202,0.385850464,0.104480647,High_Flow,Steady_Strong
Ahya_117b_R2023,-14.650895,145.6382666,-4.810600763,4.096904465,6.506831462,3.127500719,0.480648798,0.111539694,11.04745019,10.93591049,6.31874243,130.4190746,0.971093606,0.028906394,SE,Winter,450.1388709,6.31874243,0.260684591,0.004442468,Exposed,High,-0.128653227,0.15952895,Low,0.209522997,0.053830679,0.256920148,0.099831078,0.340766191,0.240935113,141.115319,SE,Winter,0.204941794,0.385970851,0.104355685,High_Flow,Steady_Strong
Ahya_118b,-14.65088965,145.638275,-4.810598952,4.096902635,6.506829055,3.127499987,0.480648863,0.111541244,11.04744579,10.93590455,6.318739865,130.4190726,0.971093571,0.028906429,SE,Winter,450.1384168,6.318739865,0.260684596,0.004442476,Exposed,High,-0.128651365,0.159523125,Low,0.209517568,0.053831203,0.256929305,0.099828882,0.340778897,0.240950015,141.114702,SE,Winter,0.204936091,0.385963831,0.104367355,High_Flow,Steady_Strong
Ahya_119b,-14.65087457,145.6382488,-4.810608325,4.096909347,6.50684051,3.127505362,0.480648843,0.11153924,11.04746752,10.93592828,6.318751353,130.4190638,0.971093627,0.028906373,SE,Winter,450.1407754,6.318751353,0.260684457,0.004442459,Exposed,High,-0.128651124,0.159556399,Low,0.209541059,0.053830084,0.256895159,0.099842992,0.34073241,0.240889418,141.1205936,SE,Winter,0.204961841,0.386033819,0.104292496,High_Flow,Steady_Strong
Ahya_119b_R2023,-14.650917,145.6382451,-4.810604351,4.096908816,6.506836491,3.127501747,0.480648584,0.111535035,11.04745916,10.93592413,6.318747983,130.4190835,0.971093709,0.028906291,SE,Winter,450.1397675,6.318747983,0.260684611,0.004442449,Exposed,High,-0.128659498,0.159539629,Low,0.209534924,0.053829232,0.256898617,0.099834685,0.340735971,0.240901286,141.1158285,SE,Winter,0.204954043,0.385975878,0.104336494,High_Flow,Steady_Strong
Ahya_11_Chicken,-18.654186,147.7098086,-4.828430717,2.211467001,5.580107879,1.762593404,0.315870847,1.366707912,8.987695936,7.620988024,5.310774848,114.6082283,0.951733365,0.048266635,SE,Winter,225.2333817,5.310774848,0.134706564,0.008649767,Moderate,High,-0.022307643,-0.00710059,Low,0.063446877,0.033532078,0.528506366,0.004781944,0.213526167,0.208744223,72.34356981,E,Autumn,0.023410453,0.648404402,9.945686861,Moderate_Flow,Variable_Weak
Ahya_11_Kelso,-18.445989,146.9912746,-4.327546957,1.982633057,5.104714538,1.657347481,0.324669963,1.373759977,8.430153468,7.056393491,4.76009417,114.614527,0.932489787,0.067510213,SE,Winter,175.168539,4.76009417,0.152245062,0.013225071,Sheltered,High,-0.035093528,-0.022720948,Low,0.063371321,0.024139707,0.380924796,0.016672978,0.153770943,0.137097965,57.07937259,NE,Spring,0.041806664,0.446223818,5.36978663,Moderate_Flow,Steady_Weak
Ahya_11_Lizard,-14.645967,145.4552521,-4.902804541,4.151170817,6.604717612,3.148392503,0.476688435,0.053920271,11.20910862,11.15518834,6.424150646,130.2543593,0.97266091,0.02733909,SE,Winter,467.6603751,6.424150646,0.257681429,0.004139328,Exposed,High,-0.069363945,0.040988907,Moderate,0.09688502,0.045505161,0.469682114,0.006877011,0.171917395,0.165040385,120.5799133,SE,Winter,0.080569519,0.284059136,1.738149613,High_Flow,Steady_Weak
Ahya_11_Tydeman,-13.971361,144.5023902,-5.720604528,3.31009249,6.871557398,3.383104422,0.492334449,0.434783187,11.53961379,11.1048306,6.609238115,120.054805,0.961825352,0.038174648,SE,Winter,540.8754183,6.609238115,0.167495198,0.005555458,Exposed,High,-0.06168679,-0.017050806,Low,0.07668226,0.034418063,0.448839966,0.010554058,0.213266858,0.2027128,74.54870339,E,Spring,0.063999922,0.195553312,2.156798186,Moderate_Flow,Steady_Weak
Ahya_11a,-21.95540839,152.2969889,-4.340656077,2.253012227,5.140626743,1.654895106,0.321924775,2.011702141,9.126275754,7.114573613,4.890537728,117.4315142,0.951350482,0.048649518,SE,Autumn,179.0676062,4.890537728,0.155617341,0.009463733,Sheltered,High,-0.017697805,0.004082134,Low,0.02103514,0.011225211,0.533640893,0.001503659,0.054936437,0.053432778,102.9885463,E,Autumn,0.018162492,0.158655228,6.492195278,Low_Flow,Steady_Weak
Ahya_11b,-14.47375062,145.5043475,-4.923265483,4.083785081,6.594736037,3.197961197,0.484926338,0.170411191,11.20164303,11.03123184,6.396549351,129.6752678,0.969947745,0.030052255,SE,Winter,471.4977024,6.396549351,0.253455263,0.004557006,Exposed,High,-0.105031785,0.064373611,Low,0.130588099,0.032213249,0.246678291,0.043348541,0.210716962,0.16736842,121.5039856,SE,Spring,0.123189438,0.195701713,0.433856365,High_Flow,Steady_Strong
Ahya_120b,-14.65076476,145.6383714,-4.810583876,4.096881899,6.506806991,3.127496937,0.480650024,0.111565909,11.0474071,10.93584119,6.318714943,130.4190181,0.971093034,0.028906966,SE,Winter,450.1346351,6.318714943,0.260684406,0.004442573,Exposed,High,-0.128614752,0.159478351,Low,0.209460625,0.053838416,0.257033586,0.099814718,0.340922642,0.241107924,141.1148116,SE,Winter,0.204878254,0.385971698,0.104444486,High_Flow,Steady_Strong
Ahya_121a,-23.4554565,152.0317466,-3.800151021,2.004397764,4.71864521,1.796713885,0.380769014,0.739335263,8.882548554,8.143213292,4.296365694,117.8095013,0.910508314,0.089491686,SE,Autumn,151.9121837,4.296365694,0.194652098,0.018965547,Sheltered,High,0.009932619,0.005430216,Low,0.027060342,0.014280143,0.527714786,0.001966163,0.062612707,0.060646544,241.3343332,SW,Summer,0.011320078,0.632945567,21.49539621,Low_Flow,Variable_Weak
Ahya_121b,-14.65091765,145.6392311,-4.810327564,4.096683812,6.506490994,3.127366577,0.480653332,0.111667829,11.04681083,10.935143,6.318391372,130.4191576,0.971090466,0.028909534,SE,Winter,450.0714862,6.318391372,0.260687893,0.004443184,Exposed,High,-0.128652301,0.158745426,Low,0.208953092,0.053931001,0.258100997,0.099532393,0.342384015,0.242851622,140.9776006,SE,Winter,0.204331899,0.384300564,0.105841624,High_Flow,Steady_Strong
Ahya_122a,-23.45547401,152.0317511,-3.800147478,2.004399091,4.718643841,1.796714785,0.380769315,0.739326807,8.8825469,8.143220093,4.29636318,117.809539,0.910508045,0.089491955,SE,Autumn,151.9121214,4.29636318,0.194652615,0.018965609,Sheltered,High,0.009940945,0.005425407,Low,0.027060672,0.014278751,0.527656932,0.001970808,0.062614009,0.060643201,241.3758906,SW,Summer,0.011325079,0.632642343,21.48849245,Low_Flow,Variable_Weak
Ahya_122b,-14.65083861,145.6392903,-4.810318626,4.096669031,6.506477115,3.127366542,0.480654352,0.111688507,11.04678711,10.9350986,6.318374983,130.4191081,0.971090019,0.028909981,SE,Winter,450.0693059,6.318374983,0.26068769,0.004443262,Exposed,High,-0.128625005,0.158729245,Low,0.208922083,0.053941699,0.258190507,0.099530548,0.342497826,0.242967278,140.9806906,SE,Winter,0.204302142,0.384339831,0.105844365,High_Flow,Steady_Strong
Ahya_123a,-23.4554782,152.0317544,-3.800146654,2.004399412,4.718643434,1.796714954,0.380769384,0.739324676,8.882546251,8.143221576,4.296362601,117.8095479,0.910508001,0.089491999,SE,Autumn,151.9120981,4.296362601,0.19465272,0.01896562,Sheltered,High,0.009942818,0.005423811,Low,0.027059751,0.014277801,0.527639763,0.00197203,0.062611852,0.060639822,241.3875184,SW,Summer,0.01132596,0.632560616,21.48749535,Low_Flow,Variable_Weak
Ahya_123b,-14.65086895,145.6383494,-4.810579687,4.096885476,6.506804308,3.127490926,0.480649298,0.111552791,11.04739989,10.9358471,6.318714073,130.4190674,0.971093301,0.028906699,SE,Winter,450.1335877,6.318714073,0.260684745,0.004442534,Exposed,High,-0.128640266,0.159459449,Low,0.209464554,0.053835784,0.257016203,0.099803738,0.340898523,0.241094785,141.1059392,SE,Winter,0.204879559,0.38586141,0.10450035,High_Flow,Steady_Strong
Ahya_124a,-23.45547024,152.0317458,-3.800148195,2.004398798,4.718644291,1.796714681,0.380769257,0.739328841,8.88254775,8.143218908,4.296363677,117.8095311,0.910508064,0.089491936,SE,Autumn,151.9121512,4.296363677,0.19465254,0.018965603,Sheltered,High,0.009939376,0.005427316,Low,0.027062548,0.014280255,0.527675946,0.00196959,0.062618535,0.060648945,241.3636101,SW,Summer,0.011324617,0.63272578,21.48870598,Low_Flow,Variable_Weak
Ahya_124b,-14.65082461,145.638413,-4.810565864,4.096871075,6.506785795,3.127485627,0.480649852,0.111565633,11.04736619,10.93580056,6.318694211,130.4190493,0.971093011,0.028906989,SE,Winter,450.1301295,6.318694211,0.260684766,0.004442591,Exposed,High,-0.128624816,0.159416183,Low,0.209423053,0.05384052,0.257089747,0.099787817,0.340999474,0.241211657,141.101704,SE,Winter,0.204836185,0.385813479,0.104584482,High_Flow,Steady_Strong
Ahya_124b_R2023,-14.650713,145.6384677,-4.810560217,4.096858563,6.50677576,3.127487047,0.480650811,0.111584903,11.04734987,10.93576496,6.3186818,130.4189961,0.971092601,0.028907399,SE,Winter,450.1287015,6.3186818,0.260684493,0.004442661,Exposed,High,-0.128592327,0.159401557,Low,0.209390506,0.053845677,0.257154337,0.099785488,0.341086202,0.241300714,141.1062084,SE,Winter,0.204804402,0.385873174,0.10459958,High_Flow,Steady_Strong
Ahya_125a,-23.45548064,152.0317515,-3.800146123,2.004399591,4.71864337,1.796715152,0.380769431,0.739323672,8.882546423,8.143222751,4.296362215,117.8095533,0.910507932,0.089492068,SE,Autumn,151.9121027,4.296362215,0.194652822,0.018965635,Sheltered,High,0.016495086,-1.28E-04,Low,0.025872338,0.012712575,0.491357808,0.002036103,0.058806045,0.056769942,270.4461506,W,Summer,0.016495587,0.362443137,14.00815852,Low_Flow,Steady_Weak
